project,page_name,date,views
ms.wikipedia,Cacar monyet,2022-05-28,27
ms.wikipedia,Cacar monyet,2022-05-28,27
ms.wikipedia,Cacar monyet,2022-05-29,31
ms.wikipedia,Cacar monyet,2022-05-29,31
ms.wikipedia,Cacar monyet,2022-05-30,39
ms.wikipedia,Cacar monyet,2022-05-30,39
ms.wikipedia,Cacar monyet,2022-05-31,67
ms.wikipedia,Cacar monyet,2022-05-31,67
ms.wikipedia,Cacar monyet,2022-06-01,54
ms.wikipedia,Cacar monyet,2022-06-01,54
ms.wikipedia,Cacar monyet,2022-06-02,65
ms.wikipedia,Cacar monyet,2022-06-02,65
ms.wikipedia,Cacar monyet,2022-06-03,74
ms.wikipedia,Cacar monyet,2022-06-03,74
ms.wikipedia,Cacar monyet,2022-06-04,66
ms.wikipedia,Cacar monyet,2022-06-04,66
ms.wikipedia,Cacar monyet,2022-06-05,55
ms.wikipedia,Cacar monyet,2022-06-05,55
ms.wikipedia,Cacar monyet,2022-06-06,51
ms.wikipedia,Cacar monyet,2022-06-06,51
ms.wikipedia,Cacar monyet,2022-06-07,75
ms.wikipedia,Cacar monyet,2022-06-07,75
ms.wikipedia,Cacar monyet,2022-06-08,50
ms.wikipedia,Cacar monyet,2022-06-08,50
ms.wikipedia,Cacar monyet,2022-06-09,48
ms.wikipedia,Cacar monyet,2022-06-09,48
ms.wikipedia,Cacar monyet,2022-06-10,50
ms.wikipedia,Cacar monyet,2022-06-10,50
ms.wikipedia,Cacar monyet,2022-06-11,33
ms.wikipedia,Cacar monyet,2022-06-11,33
ms.wikipedia,Cacar monyet,2022-06-12,37
ms.wikipedia,Cacar monyet,2022-06-12,37
ms.wikipedia,Cacar monyet,2022-06-13,32
ms.wikipedia,Cacar monyet,2022-06-13,32
ms.wikipedia,Cacar monyet,2022-06-14,46
ms.wikipedia,Cacar monyet,2022-06-14,46
ms.wikipedia,Cacar monyet,2022-06-15,90
ms.wikipedia,Cacar monyet,2022-06-15,90
ms.wikipedia,Cacar monyet,2022-06-16,67
ms.wikipedia,Cacar monyet,2022-06-16,67
ms.wikipedia,Cacar monyet,2022-06-17,40
ms.wikipedia,Cacar monyet,2022-06-17,40
ms.wikipedia,Cacar monyet,2022-06-18,34
ms.wikipedia,Cacar monyet,2022-06-18,34
ms.wikipedia,Cacar monyet,2022-06-19,40
ms.wikipedia,Cacar monyet,2022-06-19,40
ms.wikipedia,Cacar monyet,2022-06-20,40
ms.wikipedia,Cacar monyet,2022-06-20,40
ms.wikipedia,Cacar monyet,2022-06-21,28
ms.wikipedia,Cacar monyet,2022-06-21,28
ms.wikipedia,Cacar monyet,2022-06-22,62
ms.wikipedia,Cacar monyet,2022-06-22,62
ms.wikipedia,Cacar monyet,2022-06-23,48
ms.wikipedia,Cacar monyet,2022-06-23,48
ms.wikipedia,Cacar monyet,2022-06-24,45
ms.wikipedia,Cacar monyet,2022-06-24,45
ms.wikipedia,Cacar monyet,2022-06-25,15
ms.wikipedia,Cacar monyet,2022-06-25,15
ms.wikipedia,Cacar monyet,2022-06-26,44
ms.wikipedia,Cacar monyet,2022-06-26,44
ms.wikipedia,Cacar monyet,2022-06-27,30
ms.wikipedia,Cacar monyet,2022-06-27,30
ms.wikipedia,Cacar monyet,2022-06-28,36
ms.wikipedia,Cacar monyet,2022-06-28,36
ms.wikipedia,Cacar monyet,2022-06-29,38
ms.wikipedia,Cacar monyet,2022-06-29,38
ms.wikipedia,Cacar monyet,2022-06-30,33
ms.wikipedia,Cacar monyet,2022-06-30,33
ms.wikipedia,Cacar monyet,2022-07-01,55
ms.wikipedia,Cacar monyet,2022-07-01,55
ms.wikipedia,Cacar monyet,2022-07-02,52
ms.wikipedia,Cacar monyet,2022-07-02,52
ms.wikipedia,Cacar monyet,2022-07-03,53
ms.wikipedia,Cacar monyet,2022-07-03,53
ms.wikipedia,Cacar monyet,2022-07-04,40
ms.wikipedia,Cacar monyet,2022-07-04,40
ms.wikipedia,Cacar monyet,2022-07-05,46
ms.wikipedia,Cacar monyet,2022-07-05,46
ms.wikipedia,Cacar monyet,2022-07-06,30
ms.wikipedia,Cacar monyet,2022-07-06,30
ms.wikipedia,Cacar monyet,2022-07-07,159
ms.wikipedia,Cacar monyet,2022-07-07,159
ms.wikipedia,Cacar monyet,2022-07-08,397
ms.wikipedia,Cacar monyet,2022-07-08,397
ms.wikipedia,Cacar monyet,2022-07-09,103
ms.wikipedia,Cacar monyet,2022-07-09,103
ms.wikipedia,Cacar monyet,2022-07-10,26
ms.wikipedia,Cacar monyet,2022-07-10,26
ms.wikipedia,Cacar monyet,2022-07-11,40
ms.wikipedia,Cacar monyet,2022-07-11,40
ms.wikipedia,Cacar monyet,2022-07-12,35
ms.wikipedia,Cacar monyet,2022-07-12,35
ms.wikipedia,Cacar monyet,2022-07-13,20
ms.wikipedia,Cacar monyet,2022-07-13,20
ms.wikipedia,Cacar monyet,2022-07-14,30
ms.wikipedia,Cacar monyet,2022-07-14,30
ms.wikipedia,Cacar monyet,2022-07-15,61
ms.wikipedia,Cacar monyet,2022-07-15,61
ms.wikipedia,Cacar monyet,2022-07-16,49
ms.wikipedia,Cacar monyet,2022-07-16,49
ms.wikipedia,Cacar monyet,2022-07-17,40
ms.wikipedia,Cacar monyet,2022-07-17,40
ms.wikipedia,Cacar monyet,2022-07-18,54
ms.wikipedia,Cacar monyet,2022-07-18,54
ms.wikipedia,Cacar monyet,2022-07-19,99
ms.wikipedia,Cacar monyet,2022-07-19,99
ms.wikipedia,Cacar monyet,2022-07-20,65
ms.wikipedia,Cacar monyet,2022-07-20,65
ms.wikipedia,Cacar monyet,2022-07-21,63
ms.wikipedia,Cacar monyet,2022-07-21,63
ms.wikipedia,Cacar monyet,2022-07-22,64
ms.wikipedia,Cacar monyet,2022-07-22,64
ms.wikipedia,Cacar monyet,2022-07-23,309
ms.wikipedia,Cacar monyet,2022-07-23,309
ms.wikipedia,Cacar monyet,2022-07-24,520
ms.wikipedia,Cacar monyet,2022-07-24,520
ms.wikipedia,Cacar monyet,2022-07-25,637
ms.wikipedia,Cacar monyet,2022-07-25,637
ms.wikipedia,Cacar monyet,2022-07-26,392
ms.wikipedia,Cacar monyet,2022-07-26,392
ms.wikipedia,Cacar monyet,2022-07-27,300
ms.wikipedia,Cacar monyet,2022-07-27,300
ms.wikipedia,Cacar monyet,2022-07-28,255
ms.wikipedia,Cacar monyet,2022-07-28,255
ms.wikipedia,Cacar monyet,2022-07-29,248
